matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/multi/matrix.toml
  snmalloc multi 64:256 t=1 rep=2  08:06:06
  scudo multi 64:256 t=1 rep=2  08:06:18
  rpmalloc multi 64:256 t=1 rep=2  08:06:32
  libc multi 64:256 t=2 rep=1  08:06:44
  umem multi 64:256 t=2 rep=1  08:06:50
  umem@null multi 64:256 t=2 rep=1  08:06:56
  umem-preload multi 64:256 t=2 rep=1  08:07:02
  umem-preload@null multi 64:256 t=2 rep=1  08:07:09
  jemalloc multi 64:256 t=2 rep=1  08:07:16
  tcmalloc multi 64:256 t=2 rep=1  08:07:22
  mimalloc multi 64:256 t=2 rep=1  08:07:28
  snmalloc multi 64:256 t=2 rep=1  08:07:34
  scudo multi 64:256 t=2 rep=1  08:07:40
  rpmalloc multi 64:256 t=2 rep=1  08:07:47
  libc multi 64:256 t=2 rep=2  08:07:53
  umem multi 64:256 t=2 rep=2  08:08:00
  umem@null multi 64:256 t=2 rep=2  08:08:06
  umem-preload multi 64:256 t=2 rep=2  08:08:11
  umem-preload@null multi 64:256 t=2 rep=2  08:08:19
  jemalloc multi 64:256 t=2 rep=2  08:08:26
  tcmalloc multi 64:256 t=2 rep=2  08:08:32
  mimalloc multi 64:256 t=2 rep=2  08:08:38
  snmalloc multi 64:256 t=2 rep=2  08:08:44
  scudo multi 64:256 t=2 rep=2  08:08:50
  rpmalloc multi 64:256 t=2 rep=2  08:08:58
  libc multi 64:256 t=4 rep=1  08:09:04
  umem multi 64:256 t=4 rep=1  08:09:07
  umem@null multi 64:256 t=4 rep=1  08:09:11
  umem-preload multi 64:256 t=4 rep=1  08:09:14
  umem-preload@null multi 64:256 t=4 rep=1  08:09:18
  jemalloc multi 64:256 t=4 rep=1  08:09:21
  tcmalloc multi 64:256 t=4 rep=1  08:09:24
  mimalloc multi 64:256 t=4 rep=1  08:09:28
  snmalloc multi 64:256 t=4 rep=1  08:09:31
  scudo multi 64:256 t=4 rep=1  08:09:34
  rpmalloc multi 64:256 t=4 rep=1  08:09:38
  libc multi 64:256 t=4 rep=2  08:09:41
  umem multi 64:256 t=4 rep=2  08:09:45
  umem@null multi 64:256 t=4 rep=2  08:09:48
  umem-preload multi 64:256 t=4 rep=2  08:09:51
  umem-preload@null multi 64:256 t=4 rep=2  08:09:55
  jemalloc multi 64:256 t=4 rep=2  08:09:59
  tcmalloc multi 64:256 t=4 rep=2  08:10:02
  mimalloc multi 64:256 t=4 rep=2  08:10:05
  snmalloc multi 64:256 t=4 rep=2  08:10:08
  scudo multi 64:256 t=4 rep=2  08:10:11
  rpmalloc multi 64:256 t=4 rep=2  08:10:15
  libc multi 64:256 t=8 rep=1  08:10:18
  umem multi 64:256 t=8 rep=1  08:10:20
  umem@null multi 64:256 t=8 rep=1  08:10:22
  umem-preload multi 64:256 t=8 rep=1  08:10:23
  umem-preload@null multi 64:256 t=8 rep=1  08:10:25
  jemalloc multi 64:256 t=8 rep=1  08:10:27
  tcmalloc multi 64:256 t=8 rep=1  08:10:29
  mimalloc multi 64:256 t=8 rep=1  08:10:31
  snmalloc multi 64:256 t=8 rep=1  08:10:32
  scudo multi 64:256 t=8 rep=1  08:10:34
  rpmalloc multi 64:256 t=8 rep=1  08:10:36
  libc multi 64:256 t=8 rep=2  08:10:37
  umem multi 64:256 t=8 rep=2  08:10:39
  umem@null multi 64:256 t=8 rep=2  08:10:41
  umem-preload multi 64:256 t=8 rep=2  08:10:42
  umem-preload@null multi 64:256 t=8 rep=2  08:10:44
  jemalloc multi 64:256 t=8 rep=2  08:10:46
  tcmalloc multi 64:256 t=8 rep=2  08:10:48
  mimalloc multi 64:256 t=8 rep=2  08:10:50
  snmalloc multi 64:256 t=8 rep=2  08:10:51
  scudo multi 64:256 t=8 rep=2  08:10:53
  rpmalloc multi 64:256 t=8 rep=2  08:10:55
  libc multi 256:1024 t=1 rep=1  08:10:57
  umem multi 256:1024 t=1 rep=1  08:11:09
  umem@null multi 256:1024 t=1 rep=1  08:11:21
  umem-preload multi 256:1024 t=1 rep=1  08:11:33
  umem-preload@null multi 256:1024 t=1 rep=1  08:11:47
  jemalloc multi 256:1024 t=1 rep=1  08:12:02
  tcmalloc multi 256:1024 t=1 rep=1  08:12:14
  mimalloc multi 256:1024 t=1 rep=1  08:12:26
  snmalloc multi 256:1024 t=1 rep=1  08:12:38
  scudo multi 256:1024 t=1 rep=1  08:12:50
  rpmalloc multi 256:1024 t=1 rep=1  08:13:05
  libc multi 256:1024 t=1 rep=2  08:13:17
  umem multi 256:1024 t=1 rep=2  08:13:30
  umem@null multi 256:1024 t=1 rep=2  08:13:42
  umem-preload multi 256:1024 t=1 rep=2  08:13:54
  umem-preload@null multi 256:1024 t=1 rep=2  08:14:08
  jemalloc multi 256:1024 t=1 rep=2  08:14:23
  tcmalloc multi 256:1024 t=1 rep=2  08:14:35
  mimalloc multi 256:1024 t=1 rep=2  08:14:47
  snmalloc multi 256:1024 t=1 rep=2  08:14:59
  scudo multi 256:1024 t=1 rep=2  08:15:12
  rpmalloc multi 256:1024 t=1 rep=2  08:15:26
  libc multi 256:1024 t=2 rep=1  08:15:38
  umem multi 256:1024 t=2 rep=1  08:15:45
  umem@null multi 256:1024 t=2 rep=1  08:15:51
  umem-preload multi 256:1024 t=2 rep=1  08:15:57
  umem-preload@null multi 256:1024 t=2 rep=1  08:16:05
  jemalloc multi 256:1024 t=2 rep=1  08:16:13
  tcmalloc multi 256:1024 t=2 rep=1  08:16:19
  mimalloc multi 256:1024 t=2 rep=1  08:16:26
  snmalloc multi 256:1024 t=2 rep=1  08:16:32
  scudo multi 256:1024 t=2 rep=1  08:16:38
  rpmalloc multi 256:1024 t=2 rep=1  08:16:46
  libc multi 256:1024 t=2 rep=2  08:16:53
  umem multi 256:1024 t=2 rep=2  08:16:59
  umem@null multi 256:1024 t=2 rep=2  08:17:06
  umem-preload multi 256:1024 t=2 rep=2  08:17:12
  umem-preload@null multi 256:1024 t=2 rep=2  08:17:20
  jemalloc multi 256:1024 t=2 rep=2  08:17:27
  tcmalloc multi 256:1024 t=2 rep=2  08:17:34
  mimalloc multi 256:1024 t=2 rep=2  08:17:40
  snmalloc multi 256:1024 t=2 rep=2  08:17:46
  scudo multi 256:1024 t=2 rep=2  08:17:53
  rpmalloc multi 256:1024 t=2 rep=2  08:18:01
  libc multi 256:1024 t=4 rep=1  08:18:07
  umem multi 256:1024 t=4 rep=1  08:18:10
  umem@null multi 256:1024 t=4 rep=1  08:18:14
  umem-preload multi 256:1024 t=4 rep=1  08:18:17
  umem-preload@null multi 256:1024 t=4 rep=1  08:18:21
  jemalloc multi 256:1024 t=4 rep=1  08:18:25
  tcmalloc multi 256:1024 t=4 rep=1  08:18:29
  mimalloc multi 256:1024 t=4 rep=1  08:18:32
  snmalloc multi 256:1024 t=4 rep=1  08:18:36
  scudo multi 256:1024 t=4 rep=1  08:18:39
  rpmalloc multi 256:1024 t=4 rep=1  08:18:43
  libc multi 256:1024 t=4 rep=2  08:18:46
  umem multi 256:1024 t=4 rep=2  08:18:50
  umem@null multi 256:1024 t=4 rep=2  08:18:54
  umem-preload multi 256:1024 t=4 rep=2  08:18:57
  umem-preload@null multi 256:1024 t=4 rep=2  08:19:01
  jemalloc multi 256:1024 t=4 rep=2  08:19:05
  tcmalloc multi 256:1024 t=4 rep=2  08:19:08
  mimalloc multi 256:1024 t=4 rep=2  08:19:12
  snmalloc multi 256:1024 t=4 rep=2  08:19:15
  scudo multi 256:1024 t=4 rep=2  08:19:19
  rpmalloc multi 256:1024 t=4 rep=2  08:19:23
  libc multi 256:1024 t=8 rep=1  08:19:26
  umem multi 256:1024 t=8 rep=1  08:19:28
  umem@null multi 256:1024 t=8 rep=1  08:19:30
  umem-preload multi 256:1024 t=8 rep=1  08:19:31
  umem-preload@null multi 256:1024 t=8 rep=1  08:19:33
  jemalloc multi 256:1024 t=8 rep=1  08:19:35
  tcmalloc multi 256:1024 t=8 rep=1  08:19:37
  mimalloc multi 256:1024 t=8 rep=1  08:19:39
  snmalloc multi 256:1024 t=8 rep=1  08:19:41
  scudo multi 256:1024 t=8 rep=1  08:19:42
  rpmalloc multi 256:1024 t=8 rep=1  08:19:44
  libc multi 256:1024 t=8 rep=2  08:19:46
  umem multi 256:1024 t=8 rep=2  08:19:48
  umem@null multi 256:1024 t=8 rep=2  08:19:50
  umem-preload multi 256:1024 t=8 rep=2  08:19:51
  umem-preload@null multi 256:1024 t=8 rep=2  08:19:53
  jemalloc multi 256:1024 t=8 rep=2  08:19:56
  tcmalloc multi 256:1024 t=8 rep=2  08:19:57
  mimalloc multi 256:1024 t=8 rep=2  08:19:59
  snmalloc multi 256:1024 t=8 rep=2  08:20:01
  scudo multi 256:1024 t=8 rep=2  08:20:03
  rpmalloc multi 256:1024 t=8 rep=2  08:20:05
  libc multi 1024:4096 t=1 rep=1  08:20:06
  umem multi 1024:4096 t=1 rep=1  08:20:24
