matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/frag/matrix.toml
  scudo frag 64:256 t=1 rep=2  10:13:30
  rpmalloc frag 64:256 t=1 rep=2  10:14:17
  libc frag 64:256 t=2 rep=1  10:14:51
  umem frag 64:256 t=2 rep=1  10:15:23
  umem@null frag 64:256 t=2 rep=1  10:15:52
  umem-preload frag 64:256 t=2 rep=1  10:16:21
  umem-preload@null frag 64:256 t=2 rep=1  10:16:50
  jemalloc frag 64:256 t=2 rep=1  10:17:17
  tcmalloc frag 64:256 t=2 rep=1  10:17:34
  mimalloc frag 64:256 t=2 rep=1  10:17:56
  snmalloc frag 64:256 t=2 rep=1  10:18:15
  scudo frag 64:256 t=2 rep=1  10:18:33
  rpmalloc frag 64:256 t=2 rep=1  10:19:00
  libc frag 64:256 t=2 rep=2  10:19:19
  umem frag 64:256 t=2 rep=2  10:19:50
  umem@null frag 64:256 t=2 rep=2  10:20:20
  umem-preload frag 64:256 t=2 rep=2  10:20:49
  umem-preload@null frag 64:256 t=2 rep=2  10:21:17
  jemalloc frag 64:256 t=2 rep=2  10:21:45
  tcmalloc frag 64:256 t=2 rep=2  10:22:02
  mimalloc frag 64:256 t=2 rep=2  10:22:23
  snmalloc frag 64:256 t=2 rep=2  10:22:42
  scudo frag 64:256 t=2 rep=2  10:23:00
  rpmalloc frag 64:256 t=2 rep=2  10:23:27
  libc frag 64:256 t=4 rep=1  10:23:46
  umem frag 64:256 t=4 rep=1  10:24:02
  umem@null frag 64:256 t=4 rep=1  10:24:18
  umem-preload frag 64:256 t=4 rep=1  10:24:35
  umem-preload@null frag 64:256 t=4 rep=1  10:24:52
  jemalloc frag 64:256 t=4 rep=1  10:25:08
  tcmalloc frag 64:256 t=4 rep=1  10:25:17
  mimalloc frag 64:256 t=4 rep=1  10:25:31
  snmalloc frag 64:256 t=4 rep=1  10:25:41
  scudo frag 64:256 t=4 rep=1  10:25:50
  rpmalloc frag 64:256 t=4 rep=1  10:26:06
  libc frag 64:256 t=4 rep=2  10:26:16
  umem frag 64:256 t=4 rep=2  10:26:34
  umem@null frag 64:256 t=4 rep=2  10:26:50
  umem-preload frag 64:256 t=4 rep=2  10:27:07
  umem-preload@null frag 64:256 t=4 rep=2  10:27:24
  jemalloc frag 64:256 t=4 rep=2  10:27:41
  tcmalloc frag 64:256 t=4 rep=2  10:27:51
  mimalloc frag 64:256 t=4 rep=2  10:28:03
  snmalloc frag 64:256 t=4 rep=2  10:28:13
  scudo frag 64:256 t=4 rep=2  10:28:23
  rpmalloc frag 64:256 t=4 rep=2  10:28:38
  libc frag 64:256 t=8 rep=1  10:28:49
  umem frag 64:256 t=8 rep=1  10:29:00
  umem@null frag 64:256 t=8 rep=1  10:29:09
  umem-preload frag 64:256 t=8 rep=1  10:29:18
  umem-preload@null frag 64:256 t=8 rep=1  10:29:27
  jemalloc frag 64:256 t=8 rep=1  10:29:37
  tcmalloc frag 64:256 t=8 rep=1  10:29:44
  mimalloc frag 64:256 t=8 rep=1  10:29:52
  snmalloc frag 64:256 t=8 rep=1  10:29:58
  scudo frag 64:256 t=8 rep=1  10:30:06
  rpmalloc frag 64:256 t=8 rep=1  10:30:14
  libc frag 64:256 t=8 rep=2  10:30:21
  umem frag 64:256 t=8 rep=2  10:30:31
  umem@null frag 64:256 t=8 rep=2  10:30:40
  umem-preload frag 64:256 t=8 rep=2  10:30:49
  umem-preload@null frag 64:256 t=8 rep=2  10:30:59
  jemalloc frag 64:256 t=8 rep=2  10:31:09
  tcmalloc frag 64:256 t=8 rep=2  10:31:15
  mimalloc frag 64:256 t=8 rep=2  10:31:23
  snmalloc frag 64:256 t=8 rep=2  10:31:30
  scudo frag 64:256 t=8 rep=2  10:31:38
  rpmalloc frag 64:256 t=8 rep=2  10:31:46
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/frag/matrix.toml
