matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag/matrix.toml
  snmalloc frag 16:64 t=128 rep=2  14:45:32
  scudo frag 16:64 t=128 rep=2  14:45:39
  rpmalloc frag 16:64 t=128 rep=2  14:45:46
  libc frag 16:64 t=192 rep=1  14:45:53
  umem frag 16:64 t=192 rep=1  14:45:59
  umem@null frag 16:64 t=192 rep=1  14:46:08
  umem-preload frag 16:64 t=192 rep=1  14:46:17
  umem-preload@null frag 16:64 t=192 rep=1  14:46:26
  jemalloc frag 16:64 t=192 rep=1  14:46:35
  tcmalloc frag 16:64 t=192 rep=1  14:46:41
  mimalloc frag 16:64 t=192 rep=1  14:46:49
  snmalloc frag 16:64 t=192 rep=1  14:46:56
  scudo frag 16:64 t=192 rep=1  14:47:03
  rpmalloc frag 16:64 t=192 rep=1  14:47:10
  libc frag 16:64 t=192 rep=2  14:47:17
  umem frag 16:64 t=192 rep=2  14:47:23
  umem@null frag 16:64 t=192 rep=2  14:47:32
  umem-preload frag 16:64 t=192 rep=2  14:47:41
  umem-preload@null frag 16:64 t=192 rep=2  14:47:50
  jemalloc frag 16:64 t=192 rep=2  14:47:59
  tcmalloc frag 16:64 t=192 rep=2  14:48:05
  mimalloc frag 16:64 t=192 rep=2  14:48:12
  snmalloc frag 16:64 t=192 rep=2  14:48:18
  scudo frag 16:64 t=192 rep=2  14:48:25
  rpmalloc frag 16:64 t=192 rep=2  14:48:32
  libc frag 64:256 t=1 rep=1  14:48:39
  umem frag 64:256 t=1 rep=1  14:49:27
  umem@null frag 64:256 t=1 rep=1  14:50:35
  umem-preload frag 64:256 t=1 rep=1  14:51:43
  umem-preload@null frag 64:256 t=1 rep=1  14:52:51
  jemalloc frag 64:256 t=1 rep=1  14:53:58
  tcmalloc frag 64:256 t=1 rep=1  14:54:26
  mimalloc frag 64:256 t=1 rep=1  14:55:00
  snmalloc frag 64:256 t=1 rep=1  14:55:32
  scudo frag 64:256 t=1 rep=1  14:56:02
  rpmalloc frag 64:256 t=1 rep=1  14:56:45
  libc frag 64:256 t=1 rep=2  14:57:18
  umem frag 64:256 t=1 rep=2  14:58:07
  umem@null frag 64:256 t=1 rep=2  14:59:15
  umem-preload frag 64:256 t=1 rep=2  15:00:22
  umem-preload@null frag 64:256 t=1 rep=2  15:01:30
