matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/multi/matrix.toml
  snmalloc multi 64:256 t=1 rep=2  08:12:16
  scudo multi 64:256 t=1 rep=2  08:12:32
  rpmalloc multi 64:256 t=1 rep=2  08:12:48
  libc multi 64:256 t=2 rep=1  08:13:02
  umem multi 64:256 t=2 rep=1  08:13:10
  umem@null multi 64:256 t=2 rep=1  08:13:18
  umem-preload multi 64:256 t=2 rep=1  08:13:26
  umem-preload@null multi 64:256 t=2 rep=1  08:13:37
  jemalloc multi 64:256 t=2 rep=1  08:13:47
  tcmalloc multi 64:256 t=2 rep=1  08:13:56
  mimalloc multi 64:256 t=2 rep=1  08:14:04
  snmalloc multi 64:256 t=2 rep=1  08:14:11
  scudo multi 64:256 t=2 rep=1  08:14:20
  rpmalloc multi 64:256 t=2 rep=1  08:14:31
  libc multi 64:256 t=2 rep=2  08:14:38
  umem multi 64:256 t=2 rep=2  08:14:47
  umem@null multi 64:256 t=2 rep=2  08:14:54
  umem-preload multi 64:256 t=2 rep=2  08:15:02
  umem-preload@null multi 64:256 t=2 rep=2  08:15:13
  jemalloc multi 64:256 t=2 rep=2  08:15:24
  tcmalloc multi 64:256 t=2 rep=2  08:15:33
  mimalloc multi 64:256 t=2 rep=2  08:15:41
  snmalloc multi 64:256 t=2 rep=2  08:15:48
  scudo multi 64:256 t=2 rep=2  08:15:56
  rpmalloc multi 64:256 t=2 rep=2  08:16:06
  libc multi 64:256 t=4 rep=1  08:16:14
  umem multi 64:256 t=4 rep=1  08:16:18
  umem@null multi 64:256 t=4 rep=1  08:16:22
  umem-preload multi 64:256 t=4 rep=1  08:16:27
  umem-preload@null multi 64:256 t=4 rep=1  08:16:32
  jemalloc multi 64:256 t=4 rep=1  08:16:38
  tcmalloc multi 64:256 t=4 rep=1  08:16:43
  mimalloc multi 64:256 t=4 rep=1  08:16:47
  snmalloc multi 64:256 t=4 rep=1  08:16:51
  scudo multi 64:256 t=4 rep=1  08:16:56
  rpmalloc multi 64:256 t=4 rep=1  08:17:01
  libc multi 64:256 t=4 rep=2  08:17:05
  umem multi 64:256 t=4 rep=2  08:17:10
  umem@null multi 64:256 t=4 rep=2  08:17:14
  umem-preload multi 64:256 t=4 rep=2  08:17:18
  umem-preload@null multi 64:256 t=4 rep=2  08:17:24
  jemalloc multi 64:256 t=4 rep=2  08:17:29
  tcmalloc multi 64:256 t=4 rep=2  08:17:34
  mimalloc multi 64:256 t=4 rep=2  08:17:39
  snmalloc multi 64:256 t=4 rep=2  08:17:42
  scudo multi 64:256 t=4 rep=2  08:17:47
  rpmalloc multi 64:256 t=4 rep=2  08:17:53
  libc multi 64:256 t=8 rep=1  08:17:57
  umem multi 64:256 t=8 rep=1  08:18:00
  umem@null multi 64:256 t=8 rep=1  08:18:03
  umem-preload multi 64:256 t=8 rep=1  08:18:06
  umem-preload@null multi 64:256 t=8 rep=1  08:18:09
  jemalloc multi 64:256 t=8 rep=1  08:18:13
  tcmalloc multi 64:256 t=8 rep=1  08:18:16
  mimalloc multi 64:256 t=8 rep=1  08:18:18
  snmalloc multi 64:256 t=8 rep=1  08:18:21
  scudo multi 64:256 t=8 rep=1  08:18:23
  rpmalloc multi 64:256 t=8 rep=1  08:18:26
  libc multi 64:256 t=8 rep=2  08:18:29
  umem multi 64:256 t=8 rep=2  08:18:32
  umem@null multi 64:256 t=8 rep=2  08:18:35
  umem-preload multi 64:256 t=8 rep=2  08:18:37
  umem-preload@null multi 64:256 t=8 rep=2  08:18:41
  jemalloc multi 64:256 t=8 rep=2  08:18:44
  tcmalloc multi 64:256 t=8 rep=2  08:18:47
  mimalloc multi 64:256 t=8 rep=2  08:18:50
  snmalloc multi 64:256 t=8 rep=2  08:18:52
  scudo multi 64:256 t=8 rep=2  08:18:55
  rpmalloc multi 64:256 t=8 rep=2  08:18:58
  libc multi 256:1024 t=1 rep=1  08:19:01
  umem multi 256:1024 t=1 rep=1  08:19:16
  umem@null multi 256:1024 t=1 rep=1  08:19:30
  umem-preload multi 256:1024 t=1 rep=1  08:19:44
  umem-preload@null multi 256:1024 t=1 rep=1  08:19:58
  jemalloc multi 256:1024 t=1 rep=1  08:20:13
  tcmalloc multi 256:1024 t=1 rep=1  08:20:29
  mimalloc multi 256:1024 t=1 rep=1  08:20:43
  snmalloc multi 256:1024 t=1 rep=1  08:20:55
  scudo multi 256:1024 t=1 rep=1  08:21:11
  rpmalloc multi 256:1024 t=1 rep=1  08:21:30
  libc multi 256:1024 t=1 rep=2  08:21:43
  umem multi 256:1024 t=1 rep=2  08:21:58
  umem@null multi 256:1024 t=1 rep=2  08:22:12
  umem-preload multi 256:1024 t=1 rep=2  08:22:26
  umem-preload@null multi 256:1024 t=1 rep=2  08:22:40
  jemalloc multi 256:1024 t=1 rep=2  08:22:57
  tcmalloc multi 256:1024 t=1 rep=2  08:23:13
  mimalloc multi 256:1024 t=1 rep=2  08:23:27
  snmalloc multi 256:1024 t=1 rep=2  08:23:39
  scudo multi 256:1024 t=1 rep=2  08:23:55
  rpmalloc multi 256:1024 t=1 rep=2  08:24:14
  libc multi 256:1024 t=2 rep=1  08:24:27
  umem multi 256:1024 t=2 rep=1  08:24:36
  umem@null multi 256:1024 t=2 rep=1  08:24:43
  umem-preload multi 256:1024 t=2 rep=1  08:24:51
  umem-preload@null multi 256:1024 t=2 rep=1  08:25:02
  jemalloc multi 256:1024 t=2 rep=1  08:25:11
  tcmalloc multi 256:1024 t=2 rep=1  08:25:20
  mimalloc multi 256:1024 t=2 rep=1  08:25:29
  snmalloc multi 256:1024 t=2 rep=1  08:25:36
  scudo multi 256:1024 t=2 rep=1  08:25:44
  rpmalloc multi 256:1024 t=2 rep=1  08:25:56
  libc multi 256:1024 t=2 rep=2  08:26:03
  umem multi 256:1024 t=2 rep=2  08:26:12
  umem@null multi 256:1024 t=2 rep=2  08:26:20
  umem-preload multi 256:1024 t=2 rep=2  08:26:28
  umem-preload@null multi 256:1024 t=2 rep=2  08:26:39
  jemalloc multi 256:1024 t=2 rep=2  08:26:49
  tcmalloc multi 256:1024 t=2 rep=2  08:26:58
  mimalloc multi 256:1024 t=2 rep=2  08:27:07
  snmalloc multi 256:1024 t=2 rep=2  08:27:14
  scudo multi 256:1024 t=2 rep=2  08:27:23
  rpmalloc multi 256:1024 t=2 rep=2  08:27:34
  libc multi 256:1024 t=4 rep=1  08:27:41
  umem multi 256:1024 t=4 rep=1  08:27:46
  umem@null multi 256:1024 t=4 rep=1  08:27:50
  umem-preload multi 256:1024 t=4 rep=1  08:27:54
  umem-preload@null multi 256:1024 t=4 rep=1  08:28:00
  jemalloc multi 256:1024 t=4 rep=1  08:28:07
  tcmalloc multi 256:1024 t=4 rep=1  08:28:11
  mimalloc multi 256:1024 t=4 rep=1  08:28:16
  snmalloc multi 256:1024 t=4 rep=1  08:28:20
  scudo multi 256:1024 t=4 rep=1  08:28:24
  rpmalloc multi 256:1024 t=4 rep=1  08:28:31
  libc multi 256:1024 t=4 rep=2  08:28:35
  umem multi 256:1024 t=4 rep=2  08:28:40
  umem@null multi 256:1024 t=4 rep=2  08:28:44
  umem-preload multi 256:1024 t=4 rep=2  08:28:48
  umem-preload@null multi 256:1024 t=4 rep=2  08:28:54
  jemalloc multi 256:1024 t=4 rep=2  08:29:00
  tcmalloc multi 256:1024 t=4 rep=2  08:29:05
  mimalloc multi 256:1024 t=4 rep=2  08:29:09
  snmalloc multi 256:1024 t=4 rep=2  08:29:13
  scudo multi 256:1024 t=4 rep=2  08:29:18
