matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag/matrix.toml
  scudo frag 64:256 t=1 rep=2  10:39:33
  rpmalloc frag 64:256 t=1 rep=2  10:40:17
  libc frag 64:256 t=2 rep=1  10:40:49
  umem frag 64:256 t=2 rep=1  10:41:24
  umem@null frag 64:256 t=2 rep=1  10:41:53
  umem-preload frag 64:256 t=2 rep=1  10:42:20
  umem-preload@null frag 64:256 t=2 rep=1  10:42:49
  jemalloc frag 64:256 t=2 rep=1  10:43:19
  tcmalloc frag 64:256 t=2 rep=1  10:43:38
  mimalloc frag 64:256 t=2 rep=1  10:44:01
  snmalloc frag 64:256 t=2 rep=1  10:44:19
  scudo frag 64:256 t=2 rep=1  10:44:36
  rpmalloc frag 64:256 t=2 rep=1  10:45:03
  libc frag 64:256 t=2 rep=2  10:45:23
  umem frag 64:256 t=2 rep=2  10:45:59
  umem@null frag 64:256 t=2 rep=2  10:46:25
  umem-preload frag 64:256 t=2 rep=2  10:46:53
  umem-preload@null frag 64:256 t=2 rep=2  10:47:25
  jemalloc frag 64:256 t=2 rep=2  10:47:56
  tcmalloc frag 64:256 t=2 rep=2  10:48:14
  mimalloc frag 64:256 t=2 rep=2  10:48:36
  snmalloc frag 64:256 t=2 rep=2  10:48:55
  scudo frag 64:256 t=2 rep=2  10:49:12
  rpmalloc frag 64:256 t=2 rep=2  10:49:39
  libc frag 64:256 t=4 rep=1  10:49:57
  umem frag 64:256 t=4 rep=1  10:50:15
  umem@null frag 64:256 t=4 rep=1  10:50:32
  umem-preload frag 64:256 t=4 rep=1  10:50:46
  umem-preload@null frag 64:256 t=4 rep=1  10:51:06
  jemalloc frag 64:256 t=4 rep=1  10:51:24
  tcmalloc frag 64:256 t=4 rep=1  10:51:37
  mimalloc frag 64:256 t=4 rep=1  10:51:50
  snmalloc frag 64:256 t=4 rep=1  10:52:01
  scudo frag 64:256 t=4 rep=1  10:52:12
  rpmalloc frag 64:256 t=4 rep=1  10:52:26
  libc frag 64:256 t=4 rep=2  10:52:38
  umem frag 64:256 t=4 rep=2  10:52:56
  umem@null frag 64:256 t=4 rep=2  10:53:12
  umem-preload frag 64:256 t=4 rep=2  10:53:26
  umem-preload@null frag 64:256 t=4 rep=2  10:53:46
  jemalloc frag 64:256 t=4 rep=2  10:54:05
  tcmalloc frag 64:256 t=4 rep=2  10:54:18
  mimalloc frag 64:256 t=4 rep=2  10:54:30
  snmalloc frag 64:256 t=4 rep=2  10:54:41
  scudo frag 64:256 t=4 rep=2  10:54:53
  rpmalloc frag 64:256 t=4 rep=2  10:55:07
  libc frag 64:256 t=8 rep=1  10:55:20
  umem frag 64:256 t=8 rep=1  10:55:31
  umem@null frag 64:256 t=8 rep=1  10:55:41
  umem-preload frag 64:256 t=8 rep=1  10:55:52
  umem-preload@null frag 64:256 t=8 rep=1  10:56:03
  jemalloc frag 64:256 t=8 rep=1  10:56:15
  tcmalloc frag 64:256 t=8 rep=1  10:56:23
  mimalloc frag 64:256 t=8 rep=1  10:56:32
  snmalloc frag 64:256 t=8 rep=1  10:56:40
  scudo frag 64:256 t=8 rep=1  10:56:47
  rpmalloc frag 64:256 t=8 rep=1  10:56:56
  libc frag 64:256 t=8 rep=2  10:57:03
  umem frag 64:256 t=8 rep=2  10:57:15
  umem@null frag 64:256 t=8 rep=2  10:57:25
  umem-preload frag 64:256 t=8 rep=2  10:57:36
  umem-preload@null frag 64:256 t=8 rep=2  10:57:47
  jemalloc frag 64:256 t=8 rep=2  10:57:58
  tcmalloc frag 64:256 t=8 rep=2  10:58:05
  mimalloc frag 64:256 t=8 rep=2  10:58:14
  snmalloc frag 64:256 t=8 rep=2  10:58:21
  scudo frag 64:256 t=8 rep=2  10:58:29
  rpmalloc frag 64:256 t=8 rep=2  10:58:37
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag/matrix.toml
