arm,label,replicate,
nomangle,single-1-16:64,4,umem,single-thread,1,40000000,40000000,5.504734,7266472.79,15,19,22,22,23,28785,19,7204864,7204864,1579955401,0,0,,,0,5504.6,0.0,0.0025,5,0,0,0
mangle,single-1-16:64,4,umem,single-thread,1,40000000,40000000,5.751620,6954562.89,16,20,23,23,24,22352,20,7135232,7135232,1579955401,0,0,,,0,5751.4,0.0,0.0043,5,0,0,0
nomangle,single-1-16:64,5,umem,single-thread,1,40000000,40000000,5.583776,7163610.70,15,19,22,22,23,17884,19,7180288,7180288,1579984278,0,0,,,0,5583.6,0.0,0.0056,5,0,0,0
mangle,single-1-16:64,5,umem,single-thread,1,40000000,40000000,5.594339,7150085.35,15,19,22,22,23,11078,19,7147520,7147520,1579957463,0,0,,,0,5594.2,0.0,0.0018,5,0,0,0
nomangle,multi-8-16:64,1,umem,multi-thread,8,40000000,5000000,0.923553,43310978.43,15,19,21,85,175,38630,21,6393856,6393856,1580153363,0,0,,,0,6240.6,0.0,0.0316,5,0,0,0
mangle,multi-8-16:64,1,umem,multi-thread,8,40000000,5000000,0.970508,41215540.30,16,19,21,67,160,20005014,21,6402048,6402048,1580153363,0,0,,,0,6095.1,0.0,0.0518,5,0,0,0
nomangle,multi-8-16:64,2,umem,multi-thread,8,40000000,5000000,0.944133,42366897.93,15,19,22,70,170,38756,21,6348800,6348800,1580153363,0,0,,,0,6343.8,0.0,0.0671,5,0,0,0
mangle,multi-8-16:64,2,umem,multi-thread,8,40000000,5000000,0.956040,41839270.57,16,19,21,49,150,10009605,21,6426624,6426624,1580153363,0,0,,,0,6072.6,0.0,0.0713,5,0,0,0
nomangle,multi-8-16:64,3,umem,multi-thread,8,40000000,5000000,0.937875,42649595.46,15,19,21,68,205,46999,21,6356992,6356992,1580153363,0,0,,,0,6390.1,0.0,0.0253,5,0,0,0
mangle,multi-8-16:64,3,umem,multi-thread,8,40000000,5000000,0.903159,44289005.49,15,19,22,105,170,10005053,22,7208960,7208960,1580153363,0,0,,,0,6208.9,0.0,0.0571,5,0,0,0
nomangle,multi-8-16:64,4,umem,multi-thread,8,40000000,5000000,0.900522,44418701.14,15,19,20,73,142,51959,20,5545984,5545984,1580153363,0,0,,,0,6393.7,0.0,0.0326,5,0,0,0
mangle,multi-8-16:64,4,umem,multi-thread,8,40000000,5000000,0.921756,43395419.53,15,19,21,108,173,10004416,22,6410240,6410240,1580153363,0,0,,,0,6359.0,0.0,0.0242,5,0,0,0
nomangle,multi-8-16:64,5,umem,multi-thread,8,40000000,5000000,0.942117,42457559.63,16,19,21,56,164,40744,20,5537792,5537792,1580153363,0,0,,,0,6400.4,0.0,0.0248,5,0,0,0
mangle,multi-8-16:64,5,umem,multi-thread,8,40000000,5000000,0.935722,42747755.44,15,19,22,100,176,40057,21,5599232,5599232,1580153363,0,0,,,0,6386.9,0.0,0.0117,5,0,0,0
nomangle,multi-32-16:64,1,umem,multi-thread,32,40000000,1250000,0.253694,157670221.91,16,20,22,78,203,95320,22,6385664,6385664,1580023415,0,0,,,0,6801.6,0.1,0.0713,5,0,0,0
mangle,multi-32-16:64,1,umem,multi-thread,32,40000000,1250000,0.254734,157026609.45,16,20,22,102,210,242275,22,6385664,6385664,1580023415,0,0,,,0,6886.0,0.0,0.0622,5,0,0,0
nomangle,multi-32-16:64,2,umem,multi-thread,32,40000000,1250000,0.277361,144216287.11,16,20,22,78,194,365630,22,6324224,6324224,1580023415,0,0,,,0,7013.6,0.0,0.0542,5,0,0,0
mangle,multi-32-16:64,2,umem,multi-thread,32,40000000,1250000,0.289567,138137444.69,16,20,22,56,167,10005626,22,6381568,6381568,1580023415,0,0,,,0,6739.1,0.0,0.0823,5,0,0,0
nomangle,multi-32-16:64,3,umem,multi-thread,32,40000000,1250000,0.268210,149137047.19,16,20,22,71,175,10003924,22,6324224,6324224,1580023415,0,0,,,0,6903.9,0.0,0.0311,5,0,0,0
mangle,multi-32-16:64,3,umem,multi-thread,32,40000000,1250000,0.255621,156481856.60,16,20,22,66,180,209495,21,6385664,6385664,1580023415,0,0,,,0,6859.8,0.0,0.0642,5,0,0,0
nomangle,multi-32-16:64,4,umem,multi-thread,32,40000000,1250000,0.254602,157107783.34,16,20,22,77,184,97912,22,6385664,6385664,1580023415,0,0,,,0,6806.7,0.0,0.0217,5,0,0,0
mangle,multi-32-16:64,4,umem,multi-thread,32,40000000,1250000,0.290070,137897757.38,16,20,22,71,183,10006059,22,6385664,6385664,1580023415,0,0,,,0,6679.1,0.0,0.0890,5,0,0,0
nomangle,multi-32-16:64,5,umem,multi-thread,32,40000000,1250000,0.257636,155257949.01,16,20,22,90,171,65565,22,6385664,6385664,1580023415,0,0,,,0,6751.6,0.0,0.0262,5,0,0,0
mangle,multi-32-16:64,5,umem,multi-thread,32,40000000,1250000,0.254623,157095030.12,16,20,22,73,180,97440,21,7172096,7172096,1580023415,0,0,,,0,6823.9,0.0,0.0595,5,0,0,0
nomangle,multi-96-16:64,1,umem,multi-thread,96,39999936,416666,0.108827,367556574.63,16,31,68,131,193,446269,39,7172096,7172096,1580110491,0,0,,,0,8010.7,0.0,0.0402,5,0,0,0
mangle,multi-96-16:64,1,umem,multi-thread,96,39999936,416666,0.112738,354804318.50,16,31,70,134,201,80124,39,7110656,7110656,1580110491,0,0,,,0,8022.5,31.3,0.0354,5,0,0,0
nomangle,multi-96-16:64,2,umem,multi-thread,96,39999936,416666,0.110201,362971613.06,16,31,65,124,195,84760,38,7172096,7172096,1580110491,0,0,,,0,7963.9,0.1,0.0339,5,0,0,0
mangle,multi-96-16:64,2,umem,multi-thread,96,39999936,416666,0.108870,367408843.52,16,31,63,116,188,290985,37,7172096,7172096,1580110491,0,0,,,0,7919.5,0.0,0.0211,5,0,0,0
nomangle,multi-96-16:64,3,umem,multi-thread,96,39999936,416666,0.106209,376614233.56,16,31,70,126,187,125315,39,7110656,7110656,1580110491,0,0,,,0,8066.5,0.0,0.0453,5,0,0,0
mangle,multi-96-16:64,3,umem,multi-thread,96,39999936,416666,0.111681,358163210.76,16,31,67,132,197,364970,39,8007680,8007680,1580110491,0,0,,,0,8063.1,0.0,0.0185,5,0,0,0
nomangle,multi-96-16:64,4,umem,multi-thread,96,39999936,416666,0.106127,376906370.74,16,31,67,122,189,319330,38,7168000,7168000,1580110491,0,0,,,0,7959.6,39.9,0.0444,5,0,0,0
mangle,multi-96-16:64,4,umem,multi-thread,96,39999936,416666,0.112173,356591180.41,16,31,68,129,189,241650,39,7110656,7110656,1580110491,0,0,,,0,8026.4,0.1,0.0257,5,0,0,0
nomangle,multi-96-16:64,5,umem,multi-thread,96,39999936,416666,0.113766,351598824.82,16,31,65,120,181,297004,38,7172096,7172096,1580110491,0,0,,,0,7854.2,0.0,0.0409,5,0,0,0
mangle,multi-96-16:64,5,umem,multi-thread,96,39999936,416666,0.106529,375483628.38,16,31,68,130,208,12112359,39,7110656,7110656,1580110491,0,0,,,0,8066.1,0.0,0.0110,5,0,0,0
nomangle,single-1-64:256,1,umem,single-thread,1,40000000,40000000,5.343228,7486111.51,15,21,22,23,24,16315,20,7143424,7143424,6380148102,0,0,,,0,5343.1,0.0,0.0022,5,0,0,0
mangle,single-1-64:256,1,umem,single-thread,1,40000000,40000000,5.303955,7541542.08,15,21,22,23,24,9378,20,7139328,7139328,6380490217,0,0,,,0,5303.9,0.0,0.0018,5,0,0,0
nomangle,single-1-64:256,2,umem,single-thread,1,40000000,40000000,5.288378,7563756.55,15,21,22,23,24,16411,20,7147520,7147520,6380148102,0,0,,,0,5288.3,0.0,0.0026,5,0,0,0
mangle,single-1-64:256,2,umem,single-thread,1,40000000,40000000,5.306570,7537825.35,15,21,22,23,24,16777,20,7192576,7192576,6380275298,0,0,,,0,5306.5,0.0,0.0027,5,0,0,0
nomangle,single-1-64:256,3,umem,single-thread,1,40000000,40000000,5.312659,7529185.73,15,21,22,23,24,13352,20,7180288,7180288,6380241638,0,0,,,0,5312.5,0.0,0.0038,5,0,0,0
mangle,single-1-64:256,3,umem,single-thread,1,40000000,40000000,5.288688,7563313.16,15,21,22,23,24,26722,20,7147520,7147520,6380148102,0,0,,,0,5288.6,0.0,0.0018,5,0,0,0
nomangle,single-1-64:256,4,umem,single-thread,1,40000000,40000000,5.302506,7543603.42,15,21,22,23,24,11986,20,7143424,7143424,6379752167,0,0,,,0,5302.4,0.0,0.0031,5,0,0,0
mangle,single-1-64:256,4,umem,single-thread,1,40000000,40000000,5.591364,7153889.48,16,22,24,24,26,11713,22,7172096,7172096,6379752167,0,0,,,0,5591.2,0.0,0.0012,5,0,0,0
nomangle,single-1-64:256,5,umem,single-thread,1,40000000,40000000,5.286269,7566773.67,15,21,22,23,24,21976,20,7176192,7176192,6380275298,0,0,,,0,5286.1,0.0,0.0019,5,0,0,0
mangle,single-1-64:256,5,umem,single-thread,1,40000000,40000000,5.309302,7533946.71,15,21,22,23,24,14159,20,7147520,7147520,6379752167,0,0,,,0,5309.1,0.0,0.0025,5,0,0,0
nomangle,multi-8-64:256,1,umem,multi-thread,8,40000000,5000000,0.868318,46066084.45,16,20,23,72,180,36522,22,5599232,5599232,6380268563,0,0,,,0,5571.2,0.0,0.0400,5,0,0,0
mangle,multi-8-64:256,1,umem,multi-thread,8,40000000,5000000,0.862605,46371175.28,16,20,23,63,171,10004692,24,6434816,6434816,6380268563,0,0,,,0,5458.3,0.0,0.0875,5,0,0,0
nomangle,multi-8-64:256,2,umem,multi-thread,8,40000000,5000000,0.873312,45802623.69,16,20,23,98,162,79892,22,5599232,5599232,6380268563,0,0,,,0,5824.9,0.0,0.0412,5,0,0,0
mangle,multi-8-64:256,2,umem,multi-thread,8,40000000,5000000,0.856542,46699392.04,15,21,23,72,169,10617389,23,6402048,6402048,6380268563,0,0,,,0,5443.5,0.0,0.0548,5,0,0,0
nomangle,multi-8-64:256,3,umem,multi-thread,8,40000000,5000000,0.881600,45372072.17,16,20,22,41,143,10003472,21,6332416,6332416,6380268563,0,0,,,0,5296.7,0.0,0.0230,5,0,0,0
mangle,multi-8-64:256,3,umem,multi-thread,8,40000000,5000000,0.869974,45978394.49,15,20,22,64,159,10002984,22,5599232,5599232,6380268563,0,0,,,0,5595.5,0.0,0.0229,5,0,0,0
nomangle,multi-8-64:256,4,umem,multi-thread,8,40000000,5000000,0.865863,46196675.78,16,20,22,35,100,10003139,21,5529600,5529600,6380268563,0,0,,,0,5324.3,0.0,0.0457,5,0,0,0
mangle,multi-8-64:256,4,umem,multi-thread,8,40000000,5000000,0.924259,43277924.39,15,20,22,56,176,10004755,22,5541888,5541888,6380268563,0,0,,,0,5727.7,0.0,0.0507,5,0,0,0
nomangle,multi-8-64:256,5,umem,multi-thread,8,40000000,5000000,0.881700,45366930.42,16,20,22,83,158,10005674,22,6365184,6365184,6380268563,0,0,,,0,5589.7,0.0,0.0354,5,0,0,0
mangle,multi-8-64:256,5,umem,multi-thread,8,40000000,5000000,0.860277,46496673.23,16,20,22,68,156,37028,21,5599232,5599232,6380268563,0,0,,,0,5643.0,0.0,0.0346,5,0,0,0
nomangle,multi-32-64:256,1,umem,multi-thread,32,40000000,1250000,0.234196,170797278.58,16,21,24,63,181,250791,23,6381568,6381568,6380630231,0,0,,,0,6121.9,0.0,0.0518,5,0,0,0
mangle,multi-32-64:256,1,umem,multi-thread,32,40000000,1250000,0.246475,162288414.00,16,21,24,63,170,10003330,23,6385664,6385664,6380630231,0,0,,,0,5903.4,30.1,0.0518,5,0,0,0
nomangle,multi-32-64:256,2,umem,multi-thread,32,40000000,1250000,0.236441,169175175.73,16,21,24,82,177,2575223,23,6385664,6385664,6380630231,0,0,,,0,6049.9,0.0,0.0776,5,0,0,0
mangle,multi-32-64:256,2,umem,multi-thread,32,40000000,1250000,0.232309,172184543.49,16,22,24,59,193,110430,23,6385664,6385664,6380630231,0,0,,,0,6054.1,0.0,0.0623,5,0,0,0
nomangle,multi-32-64:256,3,umem,multi-thread,32,40000000,1250000,0.233160,171555901.20,16,21,24,85,182,96230,23,6324224,6324224,6380630231,0,0,,,0,6068.1,0.0,0.0245,5,0,0,0
mangle,multi-32-64:256,3,umem,multi-thread,32,40000000,1250000,0.236394,169209387.41,16,22,24,70,170,64225,23,6385664,6385664,6380630231,0,0,,,0,6046.7,0.0,0.0542,5,0,0,0
nomangle,multi-32-64:256,4,umem,multi-thread,32,40000000,1250000,0.257098,155582962.96,16,21,24,71,198,20004855,24,6324224,6324224,6380630231,0,0,,,0,6023.2,0.0,0.0448,5,0,0,0
mangle,multi-32-64:256,4,umem,multi-thread,32,40000000,1250000,0.234903,170283328.47,16,21,24,78,183,230450,23,7139328,7139328,6380630231,0,0,,,0,6055.4,0.0,0.0345,5,0,0,0
nomangle,multi-32-64:256,5,umem,multi-thread,32,40000000,1250000,0.233654,171193242.11,16,21,24,64,192,78953,23,6332416,6332416,6380630231,0,0,,,0,6006.0,0.0,0.0658,5,0,0,0
mangle,multi-32-64:256,5,umem,multi-thread,32,40000000,1250000,0.237275,168580580.97,16,21,24,72,205,292079,23,6332416,6332416,6380630231,0,0,,,0,6119.1,0.0,0.0542,5,0,0,0
nomangle,multi-96-64:256,1,umem,multi-thread,96,39999936,416666,0.107584,371800237.88,16,32,66,117,184,825975,39,7172096,7172096,6380260923,0,0,,,0,7986.8,0.0,0.0358,5,0,0,0
mangle,multi-96-64:256,1,umem,multi-thread,96,39999936,416666,0.106936,374053596.13,16,32,64,113,179,286487,38,7180288,7180288,6380260923,0,0,,,0,8019.5,0.0,0.0208,5,0,0,0
nomangle,multi-96-64:256,2,umem,multi-thread,96,39999936,416666,0.107676,371484682.42,16,32,62,112,181,367647,38,7172096,7172096,6380260923,0,0,,,0,7944.3,10.2,0.0319,5,0,0,0
mangle,multi-96-64:256,2,umem,multi-thread,96,39999936,416666,0.111084,360086001.64,16,32,59,112,179,20008249,38,7172096,7172096,6380260923,0,0,,,0,7818.0,19.8,0.0780,5,0,0,0
nomangle,multi-96-64:256,3,umem,multi-thread,96,39999936,416666,0.104817,381615986.77,16,32,63,115,184,252182,38,7172096,7172096,6380260923,0,0,,,0,7882.9,0.0,0.0263,5,0,0,0
mangle,multi-96-64:256,3,umem,multi-thread,96,39999936,416666,0.110281,362707886.02,16,32,60,110,178,10010446,38,7172096,7172096,6380260923,0,0,,,0,7839.6,0.0,0.0309,5,0,0,0
nomangle,multi-96-64:256,4,umem,multi-thread,96,39999936,416666,0.103827,385255690.23,16,32,63,112,176,10006981,38,7172096,7172096,6380260923,0,0,,,0,7910.3,0.0,0.0542,5,0,0,0
mangle,multi-96-64:256,4,umem,multi-thread,96,39999936,416666,0.113056,353805032.38,16,32,62,112,178,10003830,38,7172096,7172096,6380260923,0,0,,,0,7923.0,0.0,0.0432,5,0,0,0
nomangle,multi-96-64:256,5,umem,multi-thread,96,39999936,416666,0.108308,369316589.45,16,32,61,114,178,247936,38,7110656,7110656,6380260923,0,0,,,0,7940.3,0.0,0.0281,5,0,0,0
mangle,multi-96-64:256,5,umem,multi-thread,96,39999936,416666,0.108012,370327800.44,16,32,63,112,171,10006233,38,7172096,7172096,6380260923,0,0,,,0,7938.1,0.0,0.0415,5,0,0,0
nomangle,prodcons-8-64:256,1,umem,producer-consumer,8,80000000,10000000,7.333981,10908128.16,16,93,455,807,2301,1005462,181,19304448,19304448,6380177262,0,0,,,0,57343.9,469.7,0.0132,5,0,0,0
mangle,prodcons-8-64:256,1,umem,producer-consumer,8,80000000,10000000,8.099785,9876805.18,16,103,444,782,2461,973650,180,20963328,20963328,6380177262,0,0,,,0,64145.9,270.0,0.0164,5,0,0,0
