# umem multi t=192 size=16:64 ops=199999872 alloc_failures=0
throughput_mops = 217.708
lat_p50_ns = 24
lat_p99_ns = 282
lat_p999_ns = 592
lat_max_ns = 679040552
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_7                       0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            2              0              0            0
umem_bufctl_cache                     0            0            0            0            0        31723              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_24576                         0            0            0            0            0            0              0              0            0
umem_alloc_32                        12            0            0           62            0            0              0              0            0
umem_alloc_48                        16            0            0           89            0            0              0              0            0
umem_alloc_64                        17            0            0          106            0            0              0              0            0
umem_alloc_80                        14            0            0          112            0            0              0              0            0
umem_alloc_24576                      0            0            0          118            0           10              0              0            0
