matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag/matrix.toml
  snmalloc frag 16:64 t=128 rep=2  15:33:29
  scudo frag 16:64 t=128 rep=2  15:33:39
  rpmalloc frag 16:64 t=128 rep=2  15:33:48
  libc frag 16:64 t=192 rep=1  15:33:58
  umem frag 16:64 t=192 rep=1  15:34:09
  umem@null frag 16:64 t=192 rep=1  15:34:23
  umem-preload frag 16:64 t=192 rep=1  15:34:38
  umem-preload@null frag 16:64 t=192 rep=1  15:34:53
  jemalloc frag 16:64 t=192 rep=1  15:35:08
  tcmalloc frag 16:64 t=192 rep=1  15:35:18
  mimalloc frag 16:64 t=192 rep=1  15:35:29
  snmalloc frag 16:64 t=192 rep=1  15:35:38
  scudo frag 16:64 t=192 rep=1  15:35:48
  rpmalloc frag 16:64 t=192 rep=1  15:35:57
  libc frag 16:64 t=192 rep=2  15:36:07
  umem frag 16:64 t=192 rep=2  15:36:17
  umem@null frag 16:64 t=192 rep=2  15:36:33
  umem-preload frag 16:64 t=192 rep=2  15:36:49
  umem-preload@null frag 16:64 t=192 rep=2  15:37:04
  jemalloc frag 16:64 t=192 rep=2  15:37:19
  tcmalloc frag 16:64 t=192 rep=2  15:37:29
  mimalloc frag 16:64 t=192 rep=2  15:37:38
  snmalloc frag 16:64 t=192 rep=2  15:37:48
  scudo frag 16:64 t=192 rep=2  15:37:58
  rpmalloc frag 16:64 t=192 rep=2  15:38:09
  libc frag 64:256 t=1 rep=1  15:38:19
  umem frag 64:256 t=1 rep=1  15:39:18
  umem@null frag 64:256 t=1 rep=1  15:40:20
